,HDSI_author,year,category_for
99,George Sugihara,2018,"['0602 Ecology', '06 Biological Sciences', '0405 Oceanography', '0704 Fisheries Sciences', '0104 Statistics', '01 Mathematical Sciences', '04 Earth Sciences', '07 Agricultural and Veterinary Sciences']"
100,George Sugihara,2019,"['0603 Evolutionary Biology', '0602 Ecology', '06 Biological Sciences', '1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '1403 Econometrics', '11 Medical and Health Sciences', '14 Economics', '05 Environmental Sciences', '0502 Environmental Science and Management', '08 Information and Computing Sciences']"
101,George Sugihara,2020,"['0502 Environmental Science and Management', '0603 Evolutionary Biology', '0602 Ecology', '06 Biological Sciences', '0501 Ecological Applications', '1109 Neurosciences', '0405 Oceanography', '1403 Econometrics', '11 Medical and Health Sciences', '14 Economics', '05 Environmental Sciences', '04 Earth Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
102,George Sugihara,2021,"['0102 Applied Mathematics', '0602 Ecology', '06 Biological Sciences', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '1403 Econometrics', '0704 Fisheries Sciences', '0104 Statistics', '01 Mathematical Sciences', '14 Economics', '07 Agricultural and Veterinary Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
103,Henrik Christensen,2016,"['1702 Cognitive Sciences', '0102 Applied Mathematics', '1701 Psychology', '0804 Data Format', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '0906 Electrical and Electronic Engineering', '17 Psychology and Cognitive Sciences', '0104 Statistics', '01 Mathematical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
104,Henrik Christensen,2017,"['0102 Applied Mathematics', '0101 Pure Mathematics', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '01 Mathematical Sciences', '0103 Numerical and Computational Mathematics', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
105,Henrik Christensen,2018,"['0804 Data Format', '0801 Artificial Intelligence and Image Processing', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
106,Henrik Christensen,2019,"['1701 Psychology', '0804 Data Format', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0802 Computation Theory and Mathematics', '0803 Computer Software', '0913 Mechanical Engineering', '0806 Information Systems', '08 Information and Computing Sciences']"
107,Henrik Christensen,2020,"['1117 Public Health and Health Services', '0801 Artificial Intelligence and Image Processing', '11 Medical and Health Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
108,Henrik Christensen,2021,"['0806 Information Systems', '08 Information and Computing Sciences', '0801 Artificial Intelligence and Image Processing']"
109,Ilkay Altintas,2016,"['10 Technology', '0909 Geomatic Engineering', '0102 Applied Mathematics', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
110,Ilkay Altintas,2017,"['0803 Computer Software', '06 Biological Sciences', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '0802 Computation Theory and Mathematics', '03 Chemical Sciences', '0806 Information Systems', '08 Information and Computing Sciences']"
111,Ilkay Altintas,2018,"['0909 Geomatic Engineering', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '11 Medical and Health Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
112,Ilkay Altintas,2019,"['0909 Geomatic Engineering', '1701 Psychology', '06 Biological Sciences', '09 Engineering', '0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
113,Ilkay Altintas,2020,"['0602 Ecology', '06 Biological Sciences', '0801 Artificial Intelligence and Image Processing', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
114,Ilkay Altintas,2021,"['0601 Biochemistry and Cell Biology', '0401 Atmospheric Sciences', '1112 Oncology and Carcinogenesis', '06 Biological Sciences', '04 Earth Sciences', '02 Physical Sciences', '0801 Artificial Intelligence and Image Processing', '1103 Clinical Sciences', '0202 Atomic, Molecular, Nuclear, Particle and Plasma Physics', '0802 Computation Theory and Mathematics', '11 Medical and Health Sciences', '0803 Computer Software', '0806 Information Systems', '08 Information and Computing Sciences']"
